extraction_point,total_extracted_tons
N2868,181.44
C0279,181.44
C0271,181.44
N2631,181.44
C0269,181.44
N2632,181.44
C0243,181.44
C0242,181.44
N2636,181.44
C0236,181.44
C0234,181.44
N2640,181.44
C0204,181.44
C0203,181.44
N2671,181.44
C0194,181.44
N2706,181.44
C0272,181.44
C0307,181.44
C0165,181.44
C0611,181.44
C0501,181.44
C0483,181.44
C0482,181.44
C0528,181.44
C0473,181.44
C0537,181.44
C0538,181.44
C0556,181.44
C0442,181.44
C0419,181.44
C0583,181.44
C0410,181.44
C0409,181.44
C0315,181.44
C0593,181.44
C0166,181.44
C0238,181.44
C0120,181.44
N2830,181.44
N2828,181.44
N2858,181.44
C0126,181.44
C0123,181.44
C0055,181.44
C0119,181.44
N2859,181.44
N2860,181.44
N2827,181.44
C0128,181.44
C0129,181.44
N2862,181.44
N2825,181.44
N2864,181.44
N2865,181.44
N2866,181.44
N2821,181.44
N2867,181.44
N2831,181.44
N2593,151.2
C0610,151.2
N2630,151.2
N2820,151.2
C0157,151.2
N2857,151.2
C0582,151.2
C0441,151.2
C0555,151.2
C0554,151.2
C0472,151.2
C0527,151.2
C0499,151.2
C0500,151.2
C0440,151.2
C0305,151.2
N2668,151.2
C0131,151.2
N2705,151.2
C0233,151.2
C0232,151.2
C0206,151.2
C0560,136.07999999999998
C0559,136.07999999999998
C0535,136.07999999999998
N2676,136.07999999999998
C0561,136.07999999999998
N2675,136.07999999999998
N2674,136.07999999999998
N2677,136.07999999999998
N2673,136.07999999999998
N2861,136.07999999999998
N2710,136.07999999999998
N2751,136.07999999999998
C0562,136.07999999999998
N2863,136.07999999999998
C0534,136.07999999999998
C0533,136.07999999999998
C0532,136.07999999999998
C0531,136.07999999999998
N2711,136.07999999999998
C0507,136.07999999999998
C0506,136.07999999999998
N2712,136.07999999999998
N2713,136.07999999999998
N2714,136.07999999999998
N2748,136.07999999999998
N2749,136.07999999999998
N2752,136.07999999999998
N2788,136.07999999999998
C0563,136.07999999999998
N2789,136.07999999999998
N2634,136.07999999999998
N2635,136.07999999999998
N2824,136.07999999999998
N2787,136.07999999999998
N2601,136.07999999999998
N2600,136.07999999999998
N2599,136.07999999999998
N2598,136.07999999999998
N2597,136.07999999999998
C0504,136.07999999999998
N2637,136.07999999999998
N2750,136.07999999999998
C0618,136.07999999999998
N2826,136.07999999999998
C0617,136.07999999999998
C0616,136.07999999999998
C0615,136.07999999999998
C0614,136.07999999999998
N2786,136.07999999999998
N2638,136.07999999999998
C0590,136.07999999999998
N2785,136.07999999999998
C0589,136.07999999999998
C0588,136.07999999999998
C0587,136.07999999999998
C0586,136.07999999999998
N2753,136.07999999999998
C0505,136.07999999999998
C0508,136.07999999999998
C0312,136.07999999999998
C0088,136.07999999999998
C0276,136.07999999999998
C0202,136.07999999999998
C0416,136.07999999999998
C0415,136.07999999999998
C0090,136.07999999999998
C0162,136.07999999999998
C0414,136.07999999999998
C0413,136.07999999999998
C0161,136.07999999999998
C0237,136.07999999999998
C0239,136.07999999999998
C0240,136.07999999999998
C0314,136.07999999999998
C0313,136.07999999999998
C0241,136.07999999999998
C0122,136.07999999999998
C0311,136.07999999999998
C0310,136.07999999999998
C0124,136.07999999999998
C0273,136.07999999999998
C0125,136.07999999999998
C0127,136.07999999999998
C0274,136.07999999999998
C0089,136.07999999999998
C0163,136.07999999999998
C0087,136.07999999999998
C0199,136.07999999999998
C0047,136.07999999999998
C0048,136.07999999999998
C0049,136.07999999999998
C0050,136.07999999999998
C0479,136.07999999999998
C0478,136.07999999999998
C0051,136.07999999999998
C0086,136.07999999999998
C0476,136.07999999999998
C0198,136.07999999999998
C0477,136.07999999999998
C0446,136.07999999999998
C0448,136.07999999999998
C0445,136.07999999999998
C0164,136.07999999999998
C0201,136.07999999999998
C0447,136.07999999999998
C0275,136.07999999999998
C0449,136.07999999999998
C0200,136.07999999999998
N2716,120.96
N2709,120.96
N2745,120.96
N2746,120.96
N2708,120.96
N2747,120.96
C0160,120.96
C0167,120.96
N2707,120.96
N2715,120.96
C0503,120.96
C0159,120.96
C0158,120.96
C0046,120.96
C0052,120.96
C0053,120.96
C0054,120.96
C0082,120.96
C0083,120.96
C0084,120.96
N2829,120.96
C0085,120.96
N2823,120.96
N2822,120.96
C0091,120.96
N2792,120.96
N2791,120.96
N2790,120.96
C0092,120.96
C0093,120.96
C0195,120.96
C0121,120.96
N2784,120.96
N2783,120.96
N2782,120.96
N2755,120.96
N2754,120.96
C0130,120.96
C0168,120.96
N2639,120.96
N2679,120.96
C0558,120.96
C0591,120.96
C0316,120.96
C0411,120.96
C0412,120.96
C0585,120.96
C0584,120.96
C0565,120.96
C0564,120.96
C0417,120.96
C0418,120.96
C0443,120.96
C0444,120.96
C0557,120.96
N2678,120.96
C0450,120.96
C0536,120.96
C0451,120.96
C0474,120.96
C0475,120.96
C0530,120.96
C0529,120.96
C0510,120.96
C0509,120.96
C0045,120.96
C0480,120.96
C0481,120.96
C0592,120.96
C0612,120.96
C0613,120.96
N2602,120.96
C0196,120.96
C0197,120.96
N2672,120.96
N2670,120.96
C0205,120.96
C0502,120.96
C0235,120.96
N2633,120.96
C0270,120.96
C0309,120.96
N2603,120.96
C0277,120.96
C0278,120.96
N2596,120.96
N2595,120.96
N2594,120.96
C0620,120.96
C0619,120.96
C0308,120.96
C0044,120.96
C0268,75.6
N2744,75.6
C0056,75.6
C0280,75.6
N2669,75.6
N2781,75.6
C0306,75.6
